address,attributes.AcceptsInsurance,attributes.AgesAllowed,attributes.Alcohol,attributes.Ambience.casual,attributes.Ambience.classy,attributes.Ambience.divey,attributes.Ambience.hipster,attributes.Ambience.intimate,attributes.Ambience.romantic,attributes.Ambience.touristy,attributes.Ambience.trendy,attributes.Ambience.upscale,attributes.BestNights.friday,attributes.BestNights.monday,attributes.BestNights.saturday,attributes.BestNights.sunday,attributes.BestNights.thursday,attributes.BestNights.tuesday,attributes.BestNights.wednesday,attributes.BikeParking,attributes.BusinessAcceptsBitcoin,attributes.BusinessAcceptsCreditCards,attributes.BusinessParking.garage,attributes.BusinessParking.lot,attributes.BusinessParking.street,attributes.BusinessParking.valet,attributes.BusinessParking.validated,attributes.ByAppointmentOnly,attributes.BYOB,attributes.BYOBCorkage,attributes.Caters,attributes.CoatCheck,attributes.Corkage,attributes.DietaryRestrictions.dairy-free,attributes.DietaryRestrictions.gluten-free,attributes.DietaryRestrictions.halal,attributes.DietaryRestrictions.kosher,attributes.DietaryRestrictions.soy-free,attributes.DietaryRestrictions.vegan,attributes.DietaryRestrictions.vegetarian,attributes.DogsAllowed,attributes.DriveThru,attributes.GoodForDancing,attributes.GoodForKids,attributes.GoodForMeal.breakfast,attributes.GoodForMeal.brunch,attributes.GoodForMeal.dessert,attributes.GoodForMeal.dinner,attributes.GoodForMeal.latenight,attributes.GoodForMeal.lunch,attributes.HairSpecializesIn.africanamerican,attributes.HairSpecializesIn.asian,attributes.HairSpecializesIn.coloring,attributes.HairSpecializesIn.curly,attributes.HairSpecializesIn.extensions,attributes.HairSpecializesIn.kids,attributes.HairSpecializesIn.perms,attributes.HairSpecializesIn.straightperms,attributes.HappyHour,attributes.HasTV,attributes.Music.background_music,attributes.Music.dj,attributes.Music.jukebox,attributes.Music.karaoke,attributes.Music.live,attributes.Music.no_music,attributes.Music.video,attributes.NoiseLevel,attributes.Open24Hours,attributes.OutdoorSeating,attributes.RestaurantsAttire,attributes.RestaurantsCounterService,attributes.RestaurantsDelivery,attributes.RestaurantsGoodForGroups,attributes.RestaurantsPriceRange2,attributes.RestaurantsReservations,attributes.RestaurantsTableService,attributes.RestaurantsTakeOut,attributes.Smoking,attributes.WheelchairAccessible,attributes.WiFi,business_id,categories,city,hours.Friday,hours.Monday,hours.Saturday,hours.Sunday,hours.Thursday,hours.Tuesday,hours.Wednesday,is_open,latitude,longitude,name,neighborhood,postal_code,review_count,stars,state
145 Mcmurray Rd,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,1.0,,,True,,,,7A6mfqSfG3AG3WZcr45m-Q,"Coffee & Tea, Food, Breakfast & Brunch, Restaurants, Donuts",Upper St Clair,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0,5:0-0:0,1,40.326016,-80.065199,Dunkin Donuts,,15241,5,2.0,PA
5440 Walnut St,,,full_bar,True,False,False,False,False,False,False,False,False,,,,,,,,True,,True,False,False,True,False,False,,,,True,,,,,,,,,,,False,,True,False,False,False,True,False,False,,,,,,,,,,True,,,,,,,,average,,False,casual,,True,True,2.0,False,True,True,,True,no,f2FfutZhb4F-m1Ob0EdYaw,"Asian Fusion, Caterers, Fast Food, Chinese, Restaurants, Vegetarian, Food Delivery Services, Event Planning & Services, Food",Pittsburgh,11:0-22:0,11:0-22:0,12:0-22:0,12:0-21:0,11:0-22:0,11:0-22:0,11:0-22:0,1,40.450866,-79.933919,China Palace,Shadyside,15232,110,3.0,PA
4635 Centre Ave,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,,,,,,,,,,False,,,,,,,,,,,casual,,,False,2.0,False,,True,,,no,qfcdMhm1Ff28JHVpHca20g,"Pizza, Restaurants",Pittsburgh,10:0-2:0,10:0-1:0,10:0-2:0,10:0-1:0,10:0-1:0,10:0-1:0,10:0-1:0,1,40.4524104,-79.9506684,Pizza Bellagio,Oakland,15213,18,1.5,PA
500 Liberty Ave,,,none,True,False,False,False,False,False,False,False,False,,,,,,,,True,,True,False,False,False,False,False,,,,True,,,,,,,,,,,,,True,False,False,False,True,False,True,,,,,,,,,,False,,,,,,,,average,,False,casual,,False,False,2.0,False,False,True,,,no,rreIYrzI9U052p7nN_qogA,"Sushi Bars, Food, Thai, Poke, Japanese, Restaurants",Pittsburgh,11:0-19:0,11:0-19:0,11:0-19:0,,11:0-19:0,11:0-19:0,11:0-19:0,1,40.4413212,-80.0035143,Pittsburgh Poke,Downtown,15222,94,4.5,PA
101 Panther Hollow Rd,,,,,,,,,,,,,,,,,,,,True,,True,False,False,True,False,False,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,eva56motCJcevOwKzyQO1g,"Cafes, Hotels & Travel, Swimming Pools, Travel Services, Hiking, Playgrounds, Local Services, Skating Rinks, Beaches, Visitor Centers, Restaurants, Tennis, Community Service\/Non-Profit, Parks, Active Life",Pittsburgh,6:0-23:0,6:0-23:0,6:0-23:0,6:0-23:0,6:0-23:0,6:0-23:0,6:0-23:0,1,40.43754064,-79.94888306,Schenley Park Visitors Center,Oakland,15213,12,5.0,PA
2011 Waverly Ave,,,none,False,False,False,False,False,False,False,False,False,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,average,,False,casual,,True,True,1.0,True,False,True,,,,3F3At4YBSHEnG7uMinQPnQ,"Pizza, Restaurants",Swissvale,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,1,40.4219149,-79.8863458,Vocelli Pizza,,15218,10,2.5,PA
458 Strawberry Way,,,full_bar,False,False,False,False,False,False,False,False,False,,,,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,,,,,,,,,,False,,,,,,,,average,,False,casual,,False,True,2.0,True,,True,,,free,HiHUTSxpyKhQqLFti3Xnzw,"Breakfast & Brunch, Restaurants",Pittsburgh,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,0,40.4415434,-79.9961395,The Commoner Corner,Downtown,15219,13,3.5,PA
3200 Saw Mill Run Blvd,,,none,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,casual,,False,True,1.0,False,False,True,,,,zvf4U6LJdNGOEogmmCOsLA,"Restaurants, Fast Food",Pittsburgh,,,,,,,,0,40.3764422,-79.9841149,Arby's,,15227,3,3.0,PA
527 US 30,,,,False,False,False,False,False,False,False,False,False,,,,,,,,True,,True,False,False,False,False,False,,,,False,False,,,,,,,,,,,False,True,False,False,False,False,False,False,,,,,,,,,True,True,True,False,False,False,False,False,False,average,,False,casual,,False,True,1.0,False,True,True,no,,free,2ipAUIW4kVsE6nl4aREgag,"American (Traditional), Bars, Restaurants, Nightlife",Imperial,,,,,,,,1,40.4514328,-80.25183677,Cole's Pub,,15126,35,4.0,PA
10729 State Rt 30,,,none,,,,,,,,,,,,,,,,,False,,True,False,False,False,False,False,,,,,,,,,,,,,,,,,True,False,False,False,False,False,True,,,,,,,,,,True,,,,,,,,,,False,casual,,True,False,1.0,False,False,True,,True,free,DzvNrAo1DJcqA_vZT6cF_g,"Pizza, Restaurants, Italian",Irwin,11:0-0:0,11:0-23:0,11:0-0:0,11:30-22:0,11:0-23:0,11:0-23:0,11:0-23:0,1,40.3201378,-79.6845419,Pizza Marsala,,15642,12,4.0,PA
